Time, Mote 1 Rx Signal, Mote 2 Rx Signal
8.532680, 0,0
8.535120, 0,0
8.537560, 0,0
8.540000, 0,0
8.542440, 0,0
8.544880, 0,0
8.547320, 0,0
8.549760, 0,0
8.552200, 0,0
8.554640, 0,0
8.557080, 0,0
8.559520, 0,0
8.561960, 0,0
8.564400, 0,0
8.566840, 0,0
8.569280, 0,0
8.571720, 0,0
8.574160, 0,0
8.576600, 0,0
8.579040, 0,0
8.581480, 0,0
8.583920, 0,0
8.586360, 0,0
8.588800, 0,0
8.591240, 0,0
8.593680, 0,0
8.596120, 0,0
8.598560, 0,0
8.601000, 0,0
8.603440, 0,0
8.605880, 0,0
8.608320, 0,0
8.610760, 0,0
8.613200, 0,0
8.615640, 0,0
8.618080, 0,0
8.620520, 0,0
8.622960, 0,0
8.625400, 0,0
8.627840, 0,0
8.630280, 0,0
8.632720, 0,0
8.635160, 0,0
8.637600, 0,0
8.640040, 0,0
8.642480, 0,0
8.644920, 0,0
8.647360, 0,0
8.649800, 0,0
8.652240, 0,0
8.654680, 0,0
8.657120, 0,0
8.659560, 0,0
8.662000, 0,0
8.664440, 0,0
8.666880, 0,0
8.669320, 0,0
8.671760, 0,0
8.674200, 0,0
8.676640, 0,0
8.679080, 0,0
8.681520, 0,0
8.683960, 0,0
8.686400, 0,0
8.688840, 0,0
8.691280, 0,0
8.693720, 0,0
8.696160, 0,0
8.698600, 0,0
8.701040, 0,0
8.703480, 0,0
8.705920, 0,0
8.708360, 0,0
8.710800, 0,0
8.713240, 0,0
8.715680, 0,0
8.718120, 0,0
8.720560, 0,0
8.723000, 0,0
8.725440, 0,0
8.727880, 0,0
8.730320, 0,0
8.732760, 0,0
8.735200, 0,0
8.737640, 0,0
8.740080, 0,0
8.742520, 0,0
8.744960, 0,0
8.747400, 0,0
8.749840, 0,0
8.752280, 0,0
8.754720, 0,0
8.757160, 0,0
8.759600, 0,0
8.762040, 0,0
8.764480, 0,0
8.766920, 0,0
8.769360, 0,0
8.771800, 0,0
8.774240, 0,0
8.776680, 0,0
8.779120, 0,0
8.781560, 0,0
8.784000, 0,0
8.786440, 0,0
8.788880, 0,0
8.791320, 0,0
8.793760, 0,0
8.796200, 0,0
8.798640, 0,0
8.801080, 0,0
8.803520, 0,0
8.805960, 0,0
8.808400, 0,0
8.810840, 0,0
8.813280, 0,0
8.815720, 0,0
8.818160, 0,0
8.820600, 0,0
8.823040, 0,0
8.825480, 0,0
8.827920, 0,0
